Month,Years,Deterministic_Total,MC_Mean_Total,MC_P05_Stable,MC_P25,MC_P50,MC_P75,MC_P95,Analytical_Expected,Analytical_P05_Stable,Bifurcation_Total,Bifurcation_Stable,Bifurcation_NonStable
173,14.416666666666666,51004.43548170254,52497.76207507008,25953.048982302247,37096.413500896044,48452.4334891162,64135.10239094947,93339.2039028118,51015.349765274426,21760.04400786863,107445.96921485731,107445.96921485731,0.0
174,14.5,50219.51426183195,51693.5738780591,25481.286737475937,36456.12562821887,47657.446922008574,63172.17371194495,92067.08330940116,50230.36903903852,21326.3928397587,106404.7869793962,106404.7869793962,0.0
175,14.583333333333334,49448.368629107674,50903.02286157574,24980.930055437293,35801.41060994561,46878.51543566982,62294.527907716445,90881.06451222442,49459.163638806676,20902.470460159166,105374.24869247348,105374.24869247348,0.0
176,14.666666666666666,48690.72276129422,50125.776923769154,24541.541892803434,35173.29944190315,46142.83354789512,61440.87353772579,89766.80558228468,48701.45776002901,20488.034193769894,104354.23804127902,104354.23804127902,0.0
177,14.75,47946.30710424258,49361.63265509517,24101.345632764056,34581.96703041181,45392.49472797451,60493.952475880214,88704.67948311956,47956.9818637797,20082.848016670512,103344.64008808654,103344.64008808654,0.0
178,14.833333333333334,47212.59724693699,48609.551862911154,23668.193197567634,33982.62732684102,44635.70427867987,59563.83874065509,87583.96498861206,47223.21107382684,19685.67565779193,102345.34125250897,102345.34125250897,0.0
179,14.916666666666666,46489.46177366865,47868.18896387292,23247.03583145911,33364.33781649654,43904.4180042255,58738.79929363687,86471.51804305178,46500.01400430607,19296.364265557542,101356.22929400501,101356.22929400501,0.0
180,15.0,45776.7702155581,47136.950884155645,22834.30661861836,32818.03482725488,43193.16119744208,57811.0518298131,85286.05856101733,45787.26021095736,18914.763613686107,100377.19329463267,100377.19329463267,0.0
181,15.083333333333334,45074.39306398288,46416.442239838245,22337.142154944595,32239.280548878283,42481.44826441958,56961.99775834386,84110.33533556109,45084.82020526385,18540.78260618748,99408.12364204635,99408.12364204635,0.0
182,15.166666666666666,44382.20178323387,45705.96021087057,21931.195089215853,31676.12668110303,41829.33871504369,56128.04503959262,83055.07230760272,44392.56547793723,18174.272509286035,98448.91201273337,98448.91201273337,0.0
183,15.25,43702.126853343565,45006.61520295925,21521.993068197953,31120.751956980603,41194.77729952235,55320.40561789877,81873.23166879722,43712.42699524617,17815.98291910435,97499.4513554863,97499.4513554863,0.0
184,15.333333333333334,43033.92641304129,44319.67588911895,21127.68861562935,30593.558474002908,40507.75406941268,54590.68157292333,80734.7682128133,43044.16290781206,17465.707661587603,96559.63587510778,96559.63587510778,0.0
185,15.416666666666666,42377.36407877403,43644.73225483501,20729.758015038708,30071.72954108237,39811.918011073074,53689.8782712528,79543.3214344379,42387.53684895868,17123.24626816076,95629.3610163437,95629.3610163437,0.0
186,15.5,41732.208805090944,42981.29509479526,20335.16359096679,29581.78284026145,39168.96861729746,52947.60603142502,78491.4998972178,41742.317786706735,16788.40380046847,94708.52344804171,94708.52344804171,0.0
187,15.583333333333334,41098.23474899611,42329.09488427093,19952.109253646322,29092.55556716047,38525.68781762954,52155.10628776953,77354.31637959671,41108.2798888129,16460.99068441361,93797.02104753132,93797.02104753132,0.0
188,15.666666666666666,40475.22113814485,41688.241054489685,19582.692013152948,28613.12227233835,37880.403536978025,51328.926423568446,76325.68101745074,40485.20239847068,16140.82255228327,92894.75288522235,92894.75288522235,0.0
189,15.75,39862.95214276324,41058.694317947484,19221.946001796616,28141.386083353373,37245.45197531658,50639.57231889454,75388.24758481975,39872.869501795416,15827.720085246807,92001.61920941819,92001.61920941819,0.0
190,15.833333333333334,39261.21675117469,40439.907863010565,18855.146560161003,27658.773026473595,36672.26911942467,49879.290399654856,74282.67693618314,39271.070198665875,15521.508860819027,91117.52143134094,91117.52143134094,0.0
191,15.916666666666666,38669.80864882113,39831.51520131873,18496.178588987877,27178.36604619601,36077.34125680353,49208.57546827641,73312.57272459038,38679.59818487857,15222.019208293828,90242.36211036473,90242.36211036473,0.0
192,16.0,38088.526100670606,39233.87482196666,18178.869720008566,26730.982874275876,35497.89185620057,48494.493818191375,72331.71913727418,38098.25173874924,14929.086069237277,89376.04493945438,89376.04493945438,0.0
193,16.083333333333332,37517.17183690644,38646.63439755572,17836.428086261665,26275.530248024115,34974.73902216213,47765.32218169504,71333.12172704743,37526.83360117271,14642.548858621698,88518.47473080632,88518.47473080632,0.0
194,16.166666666666668,36955.55294179669,38069.32870370176,17502.828707611967,25840.432247435274,34456.59125082442,47083.449481992015,70421.37861358564,36965.15086868491,14362.251334199886,87669.5574016882,87669.5574016882,0.0
195,16.25,36403.480745646295,37501.76137716869,17170.267032680866,25430.52351666415,33923.05765206626,46406.1503090274,69525.32688866621,36413.014881789284,14088.041467026154,86829.19996047496,86829.19996047496,0.0
